"Source","Line","Target","Kind","ResolvedPath","Exists"
"commands\paul\add-phase.md","15","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\work\evidence\christopherkahler-paul\install-smoke/paul-framework/workflows/roadmap-management.md","static","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\work\evidence\christopherkahler-paul\install-smoke\paul-framework\workflows\roadmap-management.md","True"
"commands\paul\add-phase.md","21",".paul/PROJECT.md","dynamic_or_example",,
"commands\paul\add-phase.md","22",".paul/STATE.md","dynamic_or_example",,
"commands\paul\add-phase.md","23",".paul/ROADMAP.md","dynamic_or_example",,
"commands\paul\add-phase.md","27","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\work\evidence\christopherkahler-paul\install-smoke/paul-framework/workflows/roadmap-management.md","static","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\work\evidence\christopherkahler-paul\install-smoke\paul-framework\workflows\roadmap-management.md","True"
"commands\paul\apply.md","17","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\work\evidence\christopherkahler-paul\install-smoke/paul-framework/workflows/apply-phase.md","static","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\work\evidence\christopherkahler-paul\install-smoke\paul-framework\workflows\apply-phase.md","True"
"commands\paul\apply.md","18","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\work\evidence\christopherkahler-paul\install-smoke/paul-framework/references/checkpoints.md","static","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\work\evidence\christopherkahler-paul\install-smoke\paul-framework\references\checkpoints.md","True"
"commands\paul\apply.md","24",".paul/STATE.md","dynamic_or_example",,
"commands\paul\apply.md","38","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\work\evidence\christopherkahler-paul\install-smoke/paul-framework/workflows/apply-phase.md","static","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\work\evidence\christopherkahler-paul\install-smoke\paul-framework\workflows\apply-phase.md","True"
"commands\paul\assumptions.md","17","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\work\evidence\christopherkahler-paul\install-smoke/paul-framework/workflows/phase-assumptions.md","static","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\work\evidence\christopherkahler-paul\install-smoke\paul-framework\workflows\phase-assumptions.md","True"
