ReferenceId,Source,Line,Kind,RawReference,NormalizedTarget,TerminalClass,Status,ResolvedTarget,Evidence
R00001,.github/scripts/check_security_requirements.py,3,python_import,__future__,__future__,external_dependency,terminal,__future__,Python AST from-import
R00002,.github/scripts/check_security_requirements.py,5,python_import,os,os,external_dependency,terminal,os,Python AST import
R00003,.github/scripts/check_security_requirements.py,6,python_import,subprocess,subprocess,external_dependency,terminal,subprocess,Python AST import
R00004,.github/scripts/check_security_requirements.py,7,python_import,sys,sys,external_dependency,terminal,sys,Python AST import
R00005,.github/scripts/check_security_requirements.py,8,python_import,pathlib,pathlib,external_dependency,terminal,pathlib,Python AST from-import
R00006,.github/skills/add-community-extension/SKILL.md,118,markdown_link,<repository-url>,repository-url,prose_example,terminal,n/a,Markdown target resolution
R00007,.github/workflows/add-community-bundle.lock.yml,101,yaml_uses,github/gh-aw-actions/setup@c0338fef4749d08c21f8f975fb0e37efa17dda47,github/gh-aw-actions/setup@c0338fef4749d08c21f8f975fb0e37efa17dda47,external_dependency,terminal,github/gh-aw-actions/setup@c0338fef4749d08c21f8f975fb0e37efa17dda47,SHA/digest-pinned external action or container
R00008,.github/workflows/add-community-bundle.lock.yml,134,yaml_uses,actions/github-script@3a2844b7e9c422d3c10d287c895573f7108da1b3,actions/github-script@3a2844b7e9c422d3c10d287c895573f7108da1b3,external_dependency,terminal,actions/github-script@3a2844b7e9c422d3c10d287c895573f7108da1b3,SHA/digest-pinned external action or container
R00009,.github/workflows/add-community-bundle.lock.yml,144,yaml_uses,actions/github-script@3a2844b7e9c422d3c10d287c895573f7108da1b3,actions/github-script@3a2844b7e9c422d3c10d287c895573f7108da1b3,external_dependency,terminal,actions/github-script@3a2844b7e9c422d3c10d287c895573f7108da1b3,SHA/digest-pinned external action or container
R00010,.github/workflows/add-community-bundle.lock.yml,165,yaml_uses,actions/checkout@3d3c42e5aac5ba805825da76410c181273ba90b1,actions/checkout@3d3c42e5aac5ba805825da76410c181273ba90b1,external_dependency,terminal,actions/checkout@3d3c42e5aac5ba805825da76410c181273ba90b1,SHA/digest-pinned external action or container
R00011,.github/workflows/add-community-bundle.lock.yml,188,yaml_uses,actions/github-script@3a2844b7e9c422d3c10d287c895573f7108da1b3,actions/github-script@3a2844b7e9c422d3c10d287c895573f7108da1b3,external_dependency,terminal,actions/github-script@3a2844b7e9c422d3c10d287c895573f7108da1b3,SHA/digest-pinned external action or container
R00012,.github/workflows/add-community-bundle.lock.yml,199,yaml_uses,actions/github-script@3a2844b7e9c422d3c10d287c895573f7108da1b3,actions/github-script@3a2844b7e9c422d3c10d287c895573f7108da1b3,external_dependency,terminal,actions/github-script@3a2844b7e9c422d3c10d287c895573f7108da1b3,SHA/digest-pinned external action or container
R00013,.github/workflows/add-community-bundle.lock.yml,210,yaml_uses,actions/github-script@3a2844b7e9c422d3c10d287c895573f7108da1b3,actions/github-script@3a2844b7e9c422d3c10d287c895573f7108da1b3,external_dependency,terminal,actions/github-script@3a2844b7e9c422d3c10d287c895573f7108da1b3,SHA/digest-pinned external action or container
R00014,.github/workflows/add-community-bundle.lock.yml,302,yaml_uses,actions/github-script@3a2844b7e9c422d3c10d287c895573f7108da1b3,actions/github-script@3a2844b7e9c422d3c10d287c895573f7108da1b3,external_dependency,terminal,actions/github-script@3a2844b7e9c422d3c10d287c895573f7108da1b3,SHA/digest-pinned external action or container
R00015,.github/workflows/add-community-bundle.lock.yml,314,yaml_uses,actions/github-script@3a2844b7e9c422d3c10d287c895573f7108da1b3,actions/github-script@3a2844b7e9c422d3c10d287c895573f7108da1b3,external_dependency,terminal,actions/github-script@3a2844b7e9c422d3c10d287c895573f7108da1b3,SHA/digest-pinned external action or container
R00016,.github/workflows/add-community-bundle.lock.yml,364,yaml_uses,actions/upload-artifact@043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,actions/upload-artifact@043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,external_dependency,terminal,actions/upload-artifact@043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,SHA/digest-pinned external action or container
R00017,.github/workflows/add-community-bundle.lock.yml,416,yaml_uses,github/gh-aw-actions/setup@c0338fef4749d08c21f8f975fb0e37efa17dda47,github/gh-aw-actions/setup@c0338fef4749d08c21f8f975fb0e37efa17dda47,external_dependency,terminal,github/gh-aw-actions/setup@c0338fef4749d08c21f8f975fb0e37efa17dda47,SHA/digest-pinned external action or container
