"Path","Category","AnalysisStatus","Evidence","Notes","Disposition","DispositionEvidence"
".base64scanignore","source_or_other","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\03-open-gsd-gsd-core.md","SHA-256 3029751027E2CE22F12219C2342C618DE0C2A60D754F08B03CB71050A63E52C0; covered by the pinned full-file census and the report's exhaustive semantic traversal.","blocked","outputs/08-empirical-benchmark-protocol.md — no row-level three-branch run/test evidence exists in milestone zero"
".changeset/2255-write-guard-catastrophic-shrink.md","documentation","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\03-open-gsd-gsd-core.md","SHA-256 A78A4EBD68169B48DEB74E22E2844E40CE185F65564084CDF0B325DA4CCCF7E7; covered by the pinned full-file census and the report's exhaustive semantic traversal.","static_only_not_executable","Static source-analysis disposition; runtime execution is not applicable to this category in milestone zero"
".changeset/2544-shared-hooks-package-json-clobber.md","documentation","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\03-open-gsd-gsd-core.md","SHA-256 3B0C9662AC06CBCB8EB5A2B0E559C714E8AADA7ECE820B6B7D729EE5D9C48454; covered by the pinned full-file census and the report's exhaustive semantic traversal.","static_only_not_executable","Static source-analysis disposition; runtime execution is not applicable to this category in milestone zero"
".changeset/2562-workstream-progress-milestone-scoping.md","documentation","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\03-open-gsd-gsd-core.md","SHA-256 3B2B4B050074310F6133476B8170F53E5E78CA9BF44FACE84EB333F27A356C0B; covered by the pinned full-file census and the report's exhaustive semantic traversal.","static_only_not_executable","Static source-analysis disposition; runtime execution is not applicable to this category in milestone zero"
".changeset/2738-graphify-budget-outcome.md","documentation","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\03-open-gsd-gsd-core.md","SHA-256 FCFC34EC59092ACDBFD4139886BB857AEB8B3CDA5106E99C887CCFE6208D9432; covered by the pinned full-file census and the report's exhaustive semantic traversal.","static_only_not_executable","Static source-analysis disposition; runtime execution is not applicable to this category in milestone zero"
".changeset/agile-seals-wake.md","documentation","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\03-open-gsd-gsd-core.md","SHA-256 61DC1588F804B3B76F0AD8DB1C380FA42F83111331938E0B35E739342BB0EC26; covered by the pinned full-file census and the report's exhaustive semantic traversal.","static_only_not_executable","Static source-analysis disposition; runtime execution is not applicable to this category in milestone zero"
".changeset/archived/105-no-auto-switch-worktrees-false.md","documentation","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\03-open-gsd-gsd-core.md","SHA-256 295E6A9E982ED0293068643C0043F120349A28D1CD195700C4DF59C4313C6F58; covered by the pinned full-file census and the report's exhaustive semantic traversal.","static_only_not_executable","Static source-analysis disposition; runtime execution is not applicable to this category in milestone zero"
".changeset/archived/113-malicious-markdown-links.md","documentation","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\03-open-gsd-gsd-core.md","SHA-256 4C77BAEB613C08B3B5FE103BD04DF45DE3E7D0AF9006FE13A7D98D4A200A710A; covered by the pinned full-file census and the report's exhaustive semantic traversal.","static_only_not_executable","Static source-analysis disposition; runtime execution is not applicable to this category in milestone zero"
".changeset/archived/117-npm-bootstrap.md","documentation","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\03-open-gsd-gsd-core.md","SHA-256 EC57E951AF571DB196E0D1203D5E1195E34D3C29E387D6D8C48FC183FA8FCC32; covered by the pinned full-file census and the report's exhaustive semantic traversal.","static_only_not_executable","Static source-analysis disposition; runtime execution is not applicable to this category in milestone zero"
".changeset/archived/130-finishinstall-testmode-guard.md","documentation","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\03-open-gsd-gsd-core.md","SHA-256 E7C1079E6282FD01E935C2BABC80DD151C50A6DDFA361916F30389D0CD9BCD85; covered by the pinned full-file census and the report's exhaustive semantic traversal.","static_only_not_executable","Static source-analysis disposition; runtime execution is not applicable to this category in milestone zero"
".changeset/archived/138-nyquist-config-get-default.md","documentation","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\03-open-gsd-gsd-core.md","SHA-256 D253EDC6228567CEA2042F5EF8D89851BCF1E9D48424EC01B196E55643C72B52; covered by the pinned full-file census and the report's exhaustive semantic traversal.","static_only_not_executable","Static source-analysis disposition; runtime execution is not applicable to this category in milestone zero"
".changeset/archived/14-progress-auto-flag.md","documentation","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\03-open-gsd-gsd-core.md","SHA-256 56C32FCCE71528D04EC48A2A2C3C2D3D7B1F1CD426E49CBEF7785892DBED34FC; covered by the pinned full-file census and the report's exhaustive semantic traversal.","static_only_not_executable","Static source-analysis disposition; runtime execution is not applicable to this category in milestone zero"
".changeset/archived/142-runtime-name-policy-aliases.md","documentation","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\03-open-gsd-gsd-core.md","SHA-256 3A2B306A7EAD2B69C234944A09C3C4B651649656045424A686AED60B0573ADF4; covered by the pinned full-file census and the report's exhaustive semantic traversal.","static_only_not_executable","Static source-analysis disposition; runtime execution is not applicable to this category in milestone zero"
".changeset/archived/160-route0-resume-incomplete-phase.md","documentation","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\03-open-gsd-gsd-core.md","SHA-256 A90E4B0A3976A220AC89E3C7AC14DF045C801D264024948FA2814AA1AC50786D; covered by the pinned full-file census and the report's exhaustive semantic traversal.","static_only_not_executable","Static source-analysis disposition; runtime execution is not applicable to this category in milestone zero"
".changeset/archived/166-windows-claude-sh-hook-command.md","documentation","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\03-open-gsd-gsd-core.md","SHA-256 D5222FB4718C04C90A6524B401DB18A77D84DA432EFB00423AC4E99E7B9256CA; covered by the pinned full-file census and the report's exhaustive semantic traversal.","static_only_not_executable","Static source-analysis disposition; runtime execution is not applicable to this category in milestone zero"
".changeset/archived/167-query-meta-command.md","documentation","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\03-open-gsd-gsd-core.md","SHA-256 434DD7E44D42F2ED67EC53927F03DE324801E5C6E40905F4AFE1525893480963; covered by the pinned full-file census and the report's exhaustive semantic traversal.","static_only_not_executable","Static source-analysis disposition; runtime execution is not applicable to this category in milestone zero"
".changeset/archived/170-workflow-fallback-package-hint.md","documentation","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\03-open-gsd-gsd-core.md","SHA-256 4A00C3431F263D81B8E05EB7FA0BAF1DA294883B1CE97F30F88EFCD1DDDD5A1C; covered by the pinned full-file census and the report's exhaustive semantic traversal.","static_only_not_executable","Static source-analysis disposition; runtime execution is not applicable to this category in milestone zero"
".changeset/archived/176-hub-p1.2-review-findings.md","documentation","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\03-open-gsd-gsd-core.md","SHA-256 B5899948D1FA69DA091D57DC543482914EBD93CB6D8C2F713DF671DFB40B167B; covered by the pinned full-file census and the report's exhaustive semantic traversal.","static_only_not_executable","Static source-analysis disposition; runtime execution is not applicable to this category in milestone zero"
".changeset/archived/176-typed-result-discriminated-union.md","documentation","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\03-open-gsd-gsd-core.md","SHA-256 AC23D58DA24ABA89679128FE5A93CA18EE855920862F7CB992BE0F195C2A9D4C; covered by the pinned full-file census and the report's exhaustive semantic traversal.","static_only_not_executable","Static source-analysis disposition; runtime execution is not applicable to this category in milestone zero"
