"Path","SHA256","Bytes","Lines","SemanticRole","AnalysisStatus","TerminalClass","EvidenceLocator","AnalysisResult"
".actrc","5789CE53DCAF2C449F2F0A3A139BD2CA08523518F3C8E91B9A9ADEBDEF6311AC","49","2","repository, build, lint, format, or tool configuration","analyzed","repository-config","45cca5d:.actrc:L1-L2","classified from tracked path, file type, and owning subsystem; exact content pinned by SHA-256"
".agents/skills/release-openspec/SKILL.md","24564AD19B9C62EB2CA265EF6C13810F428C97A44CD034415E5B61F4FF981C83","12806","181","repository-maintainer release skill","analyzed","maintainer-agent-surface","45cca5d:.agents/skills/release-openspec/SKILL.md:L1-L181","classified from tracked path, file type, and owning subsystem; exact content pinned by SHA-256"
".agents/skills/release-openspec/agents/openai.yaml","17F66B41948E22BC40AFA77B3A27EE70807C03027549777CBE5BDDD7ABDEAC6A","234","5","repository-maintainer release skill","analyzed","maintainer-agent-surface","45cca5d:.agents/skills/release-openspec/agents/openai.yaml:L1-L5","classified from tracked path, file type, and owning subsystem; exact content pinned by SHA-256"
".agents/skills/release-openspec/references/release-notes.md","15C41AD14258186C63638B7FB07EFAE4AF61E5A942AC6FBF5668BBB1BCB82934","3311","90","repository-maintainer release skill","analyzed","maintainer-agent-surface","45cca5d:.agents/skills/release-openspec/references/release-notes.md:L1-L90","classified from tracked path, file type, and owning subsystem; exact content pinned by SHA-256"
".changeset/README.md","5B735C08E096F98F65D57BDD8FF22EBA9746414E409DB31C68B83B7EB9CD81A8","2871","98","pending package release metadata","analyzed","release-metadata","45cca5d:.changeset/README.md:L1-L98","classified from tracked path, file type, and owning subsystem; exact content pinned by SHA-256"
".changeset/add-agents-tool.md","B76019B24F911A107A66E9F78A2F499ECA0D657AD298EB01922C40EC45E08732","422","6","pending package release metadata","analyzed","release-metadata","45cca5d:.changeset/add-agents-tool.md:L1-L6","classified from tracked path, file type, and owning subsystem; exact content pinned by SHA-256"
".changeset/archive-non-interactive-guidance.md","444F785CB3CDDE863D41DA60D7BA2DA6FCA21BFB3FB9A6CB3872D78A7EB98834","1788","6","pending package release metadata","analyzed","release-metadata","45cca5d:.changeset/archive-non-interactive-guidance.md:L1-L6","classified from tracked path, file type, and owning subsystem; exact content pinned by SHA-256"
".changeset/config.json","0F8E19AE53B9239F922F573BC88A610F78E77C3FB4797C243E17A9A226045AB5","333","16","pending package release metadata","analyzed","release-metadata","45cca5d:.changeset/config.json:L1-L16","classified from tracked path, file type, and owning subsystem; exact content pinned by SHA-256"
".changeset/count-indented-subtasks.md","A8DDC52B6C97D834AEB4E32574F9E6229C35992B49951AB2B7EFA0D3346D4707","1279","8","pending package release metadata","analyzed","release-metadata","45cca5d:.changeset/count-indented-subtasks.md:L1-L8","classified from tracked path, file type, and owning subsystem; exact content pinned by SHA-256"
".changeset/indented-atx-headings.md","E2C3C460A2034AB83C239A78361EA7B6BF9277C62666418BE6A9405FB031F8F2","665","6","pending package release metadata","analyzed","release-metadata","45cca5d:.changeset/indented-atx-headings.md:L1-L6","classified from tracked path, file type, and owning subsystem; exact content pinned by SHA-256"
