"Path","Bytes","SHA256","Extension","Category","GearCandidate","HashError"
".augment/code_review_guidelines.yaml","3694","4D02248459116277FFF35B75725498184F558CED39BAC0FCA68FEACA27C0B4F7",".yaml","configuration_or_data","True",
".claude-plugin/marketplace.json","4553","43723AA1BC263E3008E9C4944DEC4AC988CBD6333030C29E54757440B453D6D4",".json","configuration_or_data","True",
".coderabbit.yaml","3830","91ECC75D63ED201216CCCEB2D32D71AE94FD38BC67FD52DE70207A093D3A2F71",".yaml","configuration_or_data","True",
".github/CODE_OF_CONDUCT.md","5442","254387DBC5C43C60BF41FDFB22DB4F05497A35E1C492D9B75BBB3CC94545E5DB",".md","documentation","True",
".github/FUNDING.yaml","892","954097BC293E298F8F18400864EF0A533F677965686162BE9419C54E53E0A232",".yaml","configuration_or_data","True",
".github/ISSUE_TEMPLATE/bug-report.yaml","3269","AD76CB11BE4D7C4A544BA98CAD2B99558194267130E6A8DFD1532C8DCE1517B9",".yaml","configuration_or_data","True",
".github/ISSUE_TEMPLATE/config.yaml","335","EE765F479C9A26D704CAFC77C2FD6DDFE56CE4571D9179A771451DF5CC487CBA",".yaml","configuration_or_data","True",
".github/ISSUE_TEMPLATE/documentation.yaml","1558","C7D5A30E7ED397173FB9AB7FA3E7C5A5ACA3E2120DA6D2B82CEE7D3A42A61C61",".yaml","configuration_or_data","True",
".github/ISSUE_TEMPLATE/feature-request.md","729","5B1ACAC374FB5B93EC5D063E0210089E4036823F909AB68AB0604D20BFEF7922",".md","documentation","True",
".github/ISSUE_TEMPLATE/issue.md","924","D77605A2475CF4B67C13A56906D509FA11D46E60E0C53124AC96874421005FD7",".md","documentation","True",
".github/PULL_REQUEST_TEMPLATE.md","303","2698114C903FE443357895157D0000053C53D9404CE498206EC758BADDC5D72F",".md","documentation","True",
".github/scripts/discord-helpers.sh","1217","7CE505DDE4A059DB80717CFDC3ADEDA6E00A2F937561B41C9605AAD7D2DF1DF5",".sh","orchestration_asset","True",
".github/workflows/coderabbit-review.yaml","602","DB355E8D4006A3AE88B7146939791AAC07DB62B3977FE5DC7BA698AE2D050840",".yaml","workflow","True",
".github/workflows/discord.yaml","3804","33694C2F168B6ECFFECDA11A2075A752852A9ED26EF81084713D47155425E8F9",".yaml","workflow","True",
".github/workflows/docs.yaml","1552","16DD45821C543E9ACE478E6B0AF39E5EC6149A79A4F4A2445A298D00304905F5",".yaml","workflow","True",
".github/workflows/publish.yaml","6709","21F0940C1152E7F4B25BEE32750A185A97E16362368F5F87C276667506EA1606",".yaml","workflow","True",
".github/workflows/quality.yaml","2906","7DA8CDBD3C3434E259C1294CC5754CC2A3D1B9B69174C7BA7CACD389F5C5A843",".yaml","workflow","True",
".gitignore","1260","5A755EE055FF3E69B2A45F8CBDF48224DEF9F7F87BFD188E858F0E6A7632D442",".gitignore","source_or_other","True",
".husky/pre-commit","533","CB44B05B62206CA73AEB0FAFDBEABD10080597EC522BBB7F6F4C8F98449A92CF","","source_or_other","True",
".markdownlint-cli2.yaml","951","E449AEA4580E3F01C38CE894D13A9CEF0AC6300B81406C2CF291DB561D81F6DD",".yaml","configuration_or_data","True",
".npmignore","665","B9CB4564A31A7982FF893D0B9ED5076B32E23F8E9B25614F1004107243EE3574",".npmignore","source_or_other","True",
".npmrc","133","E1A83E6678EDCA12AF0EDCE2FE9BB4973E48845F32B9273BAC9763AB5AA47CFB",".npmrc","source_or_other","True",
".nvmrc","2","785F3EC7EB32F30B90CD0FCF3657D388B5FF4297F2F9716FF66E9B69C05DDD09",".nvmrc","source_or_other","True",
".prettierignore","475","8ACD57A49D00034F30149EE6468F22154CDC988E9963C6D56BEC74A1C120B829",".prettierignore","source_or_other","True",
".vscode/settings.json","2175","4ABC452D5AB2366B0FEA0AA0D67BC32C7B6560B148D2C39F826E82F1EA332CD7",".json","configuration_or_data","True",
