"Path","Category","AnalysisStatus","Evidence","Notes"
".augment/code_review_guidelines.yaml","configuration_or_data","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\05-bmad-method.md","SHA-256 4D02248459116277FFF35B75725498184F558CED39BAC0FCA68FEACA27C0B4F7; covered by the pinned full-file census and the report's exhaustive semantic traversal."
".claude-plugin/marketplace.json","configuration_or_data","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\05-bmad-method.md","SHA-256 43723AA1BC263E3008E9C4944DEC4AC988CBD6333030C29E54757440B453D6D4; covered by the pinned full-file census and the report's exhaustive semantic traversal."
".coderabbit.yaml","configuration_or_data","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\05-bmad-method.md","SHA-256 91ECC75D63ED201216CCCEB2D32D71AE94FD38BC67FD52DE70207A093D3A2F71; covered by the pinned full-file census and the report's exhaustive semantic traversal."
".github/CODE_OF_CONDUCT.md","documentation","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\05-bmad-method.md","SHA-256 254387DBC5C43C60BF41FDFB22DB4F05497A35E1C492D9B75BBB3CC94545E5DB; covered by the pinned full-file census and the report's exhaustive semantic traversal."
".github/FUNDING.yaml","configuration_or_data","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\05-bmad-method.md","SHA-256 954097BC293E298F8F18400864EF0A533F677965686162BE9419C54E53E0A232; covered by the pinned full-file census and the report's exhaustive semantic traversal."
".github/ISSUE_TEMPLATE/bug-report.yaml","configuration_or_data","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\05-bmad-method.md","SHA-256 AD76CB11BE4D7C4A544BA98CAD2B99558194267130E6A8DFD1532C8DCE1517B9; covered by the pinned full-file census and the report's exhaustive semantic traversal."
".github/ISSUE_TEMPLATE/config.yaml","configuration_or_data","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\05-bmad-method.md","SHA-256 EE765F479C9A26D704CAFC77C2FD6DDFE56CE4571D9179A771451DF5CC487CBA; covered by the pinned full-file census and the report's exhaustive semantic traversal."
".github/ISSUE_TEMPLATE/documentation.yaml","configuration_or_data","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\05-bmad-method.md","SHA-256 C7D5A30E7ED397173FB9AB7FA3E7C5A5ACA3E2120DA6D2B82CEE7D3A42A61C61; covered by the pinned full-file census and the report's exhaustive semantic traversal."
".github/ISSUE_TEMPLATE/feature-request.md","documentation","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\05-bmad-method.md","SHA-256 5B1ACAC374FB5B93EC5D063E0210089E4036823F909AB68AB0604D20BFEF7922; covered by the pinned full-file census and the report's exhaustive semantic traversal."
".github/ISSUE_TEMPLATE/issue.md","documentation","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\05-bmad-method.md","SHA-256 D77605A2475CF4B67C13A56906D509FA11D46E60E0C53124AC96874421005FD7; covered by the pinned full-file census and the report's exhaustive semantic traversal."
".github/PULL_REQUEST_TEMPLATE.md","documentation","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\05-bmad-method.md","SHA-256 2698114C903FE443357895157D0000053C53D9404CE498206EC758BADDC5D72F; covered by the pinned full-file census and the report's exhaustive semantic traversal."
".github/scripts/discord-helpers.sh","orchestration_asset","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\05-bmad-method.md","SHA-256 7CE505DDE4A059DB80717CFDC3ADEDA6E00A2F937561B41C9605AAD7D2DF1DF5; covered by the pinned full-file census and the report's exhaustive semantic traversal."
".github/workflows/coderabbit-review.yaml","workflow","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\05-bmad-method.md","SHA-256 DB355E8D4006A3AE88B7146939791AAC07DB62B3977FE5DC7BA698AE2D050840; covered by the pinned full-file census and the report's exhaustive semantic traversal."
".github/workflows/discord.yaml","workflow","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\05-bmad-method.md","SHA-256 33694C2F168B6ECFFECDA11A2075A752852A9ED26EF81084713D47155425E8F9; covered by the pinned full-file census and the report's exhaustive semantic traversal."
".github/workflows/docs.yaml","workflow","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\05-bmad-method.md","SHA-256 16DD45821C543E9ACE478E6B0AF39E5EC6149A79A4F4A2445A298D00304905F5; covered by the pinned full-file census and the report's exhaustive semantic traversal."
".github/workflows/publish.yaml","workflow","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\05-bmad-method.md","SHA-256 21F0940C1152E7F4B25BEE32750A185A97E16362368F5F87C276667506EA1606; covered by the pinned full-file census and the report's exhaustive semantic traversal."
".github/workflows/quality.yaml","workflow","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\05-bmad-method.md","SHA-256 7DA8CDBD3C3434E259C1294CC5754CC2A3D1B9B69174C7BA7CACD389F5C5A843; covered by the pinned full-file census and the report's exhaustive semantic traversal."
