"Path","Category","AnalysisStatus","Evidence","Notes"
".gitignore","source_or_other","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\04-christopherkahler-paul.md","SHA-256 4B5194A307C9B46DF006F518B948CCB3CD925B4691F276A7AF068D6B582F1297; covered by the pinned full-file census and the report's exhaustive semantic traversal."
"bin/install.js","executable_source","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\04-christopherkahler-paul.md","SHA-256 7AB650A4B8506667F3C2796E6FD7256215D0FDEC1120E4E3728FEEE4763F1288; covered by the pinned full-file census and the report's exhaustive semantic traversal."
"IDEATION.md","documentation","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\04-christopherkahler-paul.md","SHA-256 E4F286640DA97867D75FAED1EFD8C6D998A268D795803AE5AA02927F9E41F0AD; covered by the pinned full-file census and the report's exhaustive semantic traversal."
"LICENSE","source_or_other","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\04-christopherkahler-paul.md","SHA-256 E65AD792EA8ED4C3985E155EE5E91EFD6F71732CC1AA077EFAA5F0B018C9CE52; covered by the pinned full-file census and the report's exhaustive semantic traversal."
"package.json","configuration_or_data","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\04-christopherkahler-paul.md","SHA-256 1C098FDF343D2CEF052400EF831E94D1F29AB0B46413F7C8FC2022239AC8B466; covered by the pinned full-file census and the report's exhaustive semantic traversal."
"PAUL-VS-GSD.md","documentation","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\04-christopherkahler-paul.md","SHA-256 9E46DA084DF85D4324C9B1D9D79EC239D11910F0E9A0553B83B9FEF82DA84B1D; covered by the pinned full-file census and the report's exhaustive semantic traversal."
"README.md","documentation","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\04-christopherkahler-paul.md","SHA-256 16011BE09210BBE635A50B4A5D27264DE64AF0AA40147BCCA40835A698B8E507; covered by the pinned full-file census and the report's exhaustive semantic traversal."
"src/carl/PAUL","source_or_other","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\04-christopherkahler-paul.md","SHA-256 9DF322C2CD2E4BA3FA61CF1213D36FBFF658AF9B99781F7BC29A3F57F78085D7; covered by the pinned full-file census and the report's exhaustive semantic traversal."
"src/carl/PAUL.manifest","source_or_other","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\04-christopherkahler-paul.md","SHA-256 4D0777BAC173664C780B03095113DAC9CCB10A15C31341867936E11F05621B4D; covered by the pinned full-file census and the report's exhaustive semantic traversal."
"src/commands/add-phase.md","orchestration_asset","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\04-christopherkahler-paul.md","SHA-256 4F8B7BC209FB43E35EEF2DAAFE55A9D6FE04B52964D2A4ADF3C3FFA4BD16DB46; covered by the pinned full-file census and the report's exhaustive semantic traversal."
"src/commands/apply.md","orchestration_asset","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\04-christopherkahler-paul.md","SHA-256 16E1405B23B15BAEDA4D3BD9BD741932FD518D8C1009C29426298936E42FA6F4; covered by the pinned full-file census and the report's exhaustive semantic traversal."
"src/commands/assumptions.md","orchestration_asset","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\04-christopherkahler-paul.md","SHA-256 7450E567510C37EE0B678F6C856F5336132720B0E995EFAC0E0F414E9DF8AA85; covered by the pinned full-file census and the report's exhaustive semantic traversal."
"src/commands/audit.md","orchestration_asset","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\04-christopherkahler-paul.md","SHA-256 F2628E4C3D5A946101A54F8406F4328AD902E06A0558BC18DEA219A4F0940021; covered by the pinned full-file census and the report's exhaustive semantic traversal."
"src/commands/complete-milestone.md","orchestration_asset","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\04-christopherkahler-paul.md","SHA-256 5B5E87176B1F160A81AC6BF7BC28B1CFA6490BF0EB6671100F12FC741D913958; covered by the pinned full-file census and the report's exhaustive semantic traversal."
"src/commands/config.md","orchestration_asset","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\04-christopherkahler-paul.md","SHA-256 F017A19707D9B1A7A64BC38B80B92C948C01866E3E8532D184716EDF35D86634; covered by the pinned full-file census and the report's exhaustive semantic traversal."
"src/commands/consider-issues.md","orchestration_asset","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\04-christopherkahler-paul.md","SHA-256 08653315645258BB3D1E852CBB66B9A8154DE7DD2C4F724CCA6B3112F44E95F8; covered by the pinned full-file census and the report's exhaustive semantic traversal."
"src/commands/discover.md","orchestration_asset","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\04-christopherkahler-paul.md","SHA-256 184E56894F1624A525326A709FF8F8AF17A79DAA785C34EFC4D9C702176F311F; covered by the pinned full-file census and the report's exhaustive semantic traversal."
"src/commands/discuss-milestone.md","orchestration_asset","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\04-christopherkahler-paul.md","SHA-256 52F0D4C685AEAF2B25BA1140DCD797CB342E0CE305AAFE222649ED9D08589E48; covered by the pinned full-file census and the report's exhaustive semantic traversal."
