"Path","Category","AnalysisStatus","Evidence","Notes"
".devcontainer/devcontainer.json","configuration_or_data","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\01-github-spec-kit.md","SHA-256 516084FAE5F66C4D4212A93F1903C2D08BD1C2E1F7120DDA86B1C080A35594F7; covered by the pinned full-file census and the report's exhaustive semantic traversal."
".devcontainer/post-create.sh","executable_source","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\01-github-spec-kit.md","SHA-256 630C8237F3E5C77C76D1B497E8BC00F647BF9667633F7B7599DC462C9D42204D; covered by the pinned full-file census and the report's exhaustive semantic traversal."
".editorconfig","source_or_other","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\01-github-spec-kit.md","SHA-256 E3D83E7B034BC1324525F2A2F970905A9FB4AEE7DD56E49313E232EE833D9ECF; covered by the pinned full-file census and the report's exhaustive semantic traversal."
".gitattributes","source_or_other","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\01-github-spec-kit.md","SHA-256 B9139EC672AC647F1E92F9EA2D334B99FB895595ED27C448B1D44BE5AE196FAE; covered by the pinned full-file census and the report's exhaustive semantic traversal."
".github/aw/actions-lock.json","configuration_or_data","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\01-github-spec-kit.md","SHA-256 32CE8D6E21126932D68EC111431BB7279BD0D8B7D4C7A0595799845C847AC489; covered by the pinned full-file census and the report's exhaustive semantic traversal."
".github/CODEOWNERS","source_or_other","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\01-github-spec-kit.md","SHA-256 64EE64DC56BC04A2A6BD75E3D410E796D87DB29C996DE9C46B8549C2A47F2F12; covered by the pinned full-file census and the report's exhaustive semantic traversal."
".github/dependabot.yml","configuration_or_data","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\01-github-spec-kit.md","SHA-256 A87F96C8E5C34B57B513C435C25F1AAC33EE36016A232BF03425CCF303A3D102; covered by the pinned full-file census and the report's exhaustive semantic traversal."
".github/ISSUE_TEMPLATE/agent_request.yml","configuration_or_data","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\01-github-spec-kit.md","SHA-256 B2C2F2D40377FCDC30C9335D569CD8640C7DD65F62DF3BF377A6326C796929F3; covered by the pinned full-file census and the report's exhaustive semantic traversal."
".github/ISSUE_TEMPLATE/bug_report.yml","configuration_or_data","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\01-github-spec-kit.md","SHA-256 BDC54B7093B874F35DF5F0B9C616376DF0E7C5270D4A8626CEE5845D534FF396; covered by the pinned full-file census and the report's exhaustive semantic traversal."
".github/ISSUE_TEMPLATE/bundle_submission.yml","configuration_or_data","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\01-github-spec-kit.md","SHA-256 8F89E99336FD1C8765454021CE7332A96DFB48E8E55AA57A27B1A98221B92D0D; covered by the pinned full-file census and the report's exhaustive semantic traversal."
".github/ISSUE_TEMPLATE/config.yml","configuration_or_data","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\01-github-spec-kit.md","SHA-256 EEF995F18927FFA13F4365C3A95417D8FDC98020546A2A13457B09DF0C56C990; covered by the pinned full-file census and the report's exhaustive semantic traversal."
".github/ISSUE_TEMPLATE/extension_submission.yml","configuration_or_data","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\01-github-spec-kit.md","SHA-256 6F40C3292D8EA97AD82D95162E5A7EC3A4D11A7205D216337EA2A102A6CEFCA6; covered by the pinned full-file census and the report's exhaustive semantic traversal."
".github/ISSUE_TEMPLATE/feature_request.yml","configuration_or_data","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\01-github-spec-kit.md","SHA-256 323E799C09336EFFD5B66A4F07F94B3D02A46F3C5CFB79BD6C17CCEC13D1FA75; covered by the pinned full-file census and the report's exhaustive semantic traversal."
".github/ISSUE_TEMPLATE/preset_submission.yml","configuration_or_data","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\01-github-spec-kit.md","SHA-256 4F90545E3C63173DE5E18700D9A43C227D90F4900F8D9201A82B18EA3BA25F9A; covered by the pinned full-file census and the report's exhaustive semantic traversal."
".github/PULL_REQUEST_TEMPLATE.md","documentation","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\01-github-spec-kit.md","SHA-256 C0B1CCBEB36E5E86B3C2B7690EF9A4DDCC185CB7A31A050229240E98D051165D; covered by the pinned full-file census and the report's exhaustive semantic traversal."
".github/scripts/check_security_requirements.py","orchestration_asset","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\01-github-spec-kit.md","SHA-256 227254AD751529BE68A430907F75327245E212B81E5EBFBCE8D3237B7FDFA668; covered by the pinned full-file census and the report's exhaustive semantic traversal."
".github/security-audit-requirements.txt","documentation","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\01-github-spec-kit.md","SHA-256 1DA5E67CC297BD3AFD86F8599500BBF2028F2E586FDD019FE196065E4F703866; covered by the pinned full-file census and the report's exhaustive semantic traversal."
