"SourcePath","SourceLine","ReferenceType","RawTarget","NormalizedTarget","Resolution","TerminalClass","Notes"
".agents/skills/release-openspec/SKILL.md","150","markdown-link","references/release-notes.md",".agents/skills/release-openspec/references/release-notes.md","resolved","tracked-file","resolved to pinned tracked file"
".changeset/README.md","3","markdown-link","https://github.com/changesets/changesets","https://github.com/changesets/changesets","classified","external-dependency","external endpoint inventoried but not fetched"
".devcontainer/README.md","23","markdown-link","https://code.visualstudio.com/","https://code.visualstudio.com/","classified","external-dependency","external endpoint inventoried but not fetched"
".devcontainer/README.md","24","markdown-link","https://www.docker.com/products/docker-desktop","https://www.docker.com/products/docker-desktop","classified","external-dependency","external endpoint inventoried but not fetched"
".devcontainer/README.md","25","markdown-link","https://marketplace.visualstudio.com/items?itemName=ms-vscode-remote.remote-containers","https://marketplace.visualstudio.com/items?itemName=ms-vscode-remote.remote-containers","classified","external-dependency","external endpoint inventoried but not fetched"
".github/workflows/ci.yml","28","github-action","actions/checkout@3d3c42e5aac5ba805825da76410c181273ba90b1","actions/checkout@3d3c42e5aac5ba805825da76410c181273ba90b1","classified","external-action-pinned","action dependency pinned by commit SHA"
".github/workflows/ci.yml","33","github-action","dorny/paths-filter@7b450fff21473bca461d4b92ce414b9d0420d706","dorny/paths-filter@7b450fff21473bca461d4b92ce414b9d0420d706","classified","external-action-pinned","action dependency pinned by commit SHA"
".github/workflows/ci.yml","73","github-action","actions/checkout@3d3c42e5aac5ba805825da76410c181273ba90b1","actions/checkout@3d3c42e5aac5ba805825da76410c181273ba90b1","classified","external-action-pinned","action dependency pinned by commit SHA"
".github/workflows/ci.yml","79","github-action","pnpm/action-setup@0ebf47130e4866e96fce0953f49152a61190b271","pnpm/action-setup@0ebf47130e4866e96fce0953f49152a61190b271","classified","external-action-pinned","action dependency pinned by commit SHA"
".github/workflows/ci.yml","82","github-action","actions/setup-node@820762786026740c76f36085b0efc47a31fe5020","actions/setup-node@820762786026740c76f36085b0efc47a31fe5020","classified","external-action-pinned","action dependency pinned by commit SHA"
".github/workflows/ci.yml","104","github-action","actions/upload-artifact@043fb46d1a93c77aae656e7c1c64a875d1fc6a0a","actions/upload-artifact@043fb46d1a93c77aae656e7c1c64a875d1fc6a0a","classified","external-action-pinned","action dependency pinned by commit SHA"
