GearRow,Path,Category,Bytes,Lines,SHA256,SemanticMethod,SemanticSynopsis,ReferenceCount,TerminalClasses,ReferenceStatuses,BrokenReferenceCount,SourceEvidence
1,.devcontainer/devcontainer.json,configuration_or_data,2196,75,516084FAE5F66C4D4212A93F1903C2D08BD1C2E1F7120DDA86B1C080A35594F7,jsonc_parse,"JSON dict; top-level keys=name,image,features,forwardPorts,containerUser,updateRemoteUserUID,postCreateCommand,postStartCommand,customizations",0,none,none,0,https://github.com/github/spec-kit/blob/d1e86f638277a99b82715c22c90558cd58d3cffd/.devcontainer/devcontainer.json#L1-L75
2,.devcontainer/post-create.sh,executable_source,3605,126,630C8237F3E5C77C76D1B497E8BC00F647BF9667633F7B7599DC462C9D42204D,script_structure,"sh script; functions=run_command,cleanup_kiro_installer; lead=#!/bin/bash",0,none,none,0,https://github.com/github/spec-kit/blob/d1e86f638277a99b82715c22c90558cd58d3cffd/.devcontainer/post-create.sh#L1-L126
3,.editorconfig,source_or_other,369,29,E3D83E7B034BC1324525F2A2F970905A9FB4AEE7DD56E49313E232EE833D9ECF,text_structure,extensionless text; lead=root = true,0,none,none,0,https://github.com/github/spec-kit/blob/d1e86f638277a99b82715c22c90558cd58d3cffd/.editorconfig#L1-L29
4,.gitattributes,source_or_other,338,8,B9139EC672AC647F1E92F9EA2D334B99FB895595ED27C448B1D44BE5AE196FAE,text_structure,extensionless text; lead=* text=auto eol=lf,0,none,none,0,https://github.com/github/spec-kit/blob/d1e86f638277a99b82715c22c90558cd58d3cffd/.gitattributes#L1-L8
5,.github/aw/actions-lock.json,configuration_or_data,1032,35,32CE8D6E21126932D68EC111431BB7279BD0D8B7D4C7A0595799845C847AC489,json_parse,JSON dict; top-level keys=entries,0,none,none,0,https://github.com/github/spec-kit/blob/d1e86f638277a99b82715c22c90558cd58d3cffd/.github/aw/actions-lock.json#L1-L35
6,.github/CODEOWNERS,source_or_other,242,8,64EE64DC56BC04A2A6BD75E3D410E796D87DB29C996DE9C46B8549C2A47F2F12,text_structure,extensionless text; lead=# Global code owner,0,none,none,0,https://github.com/github/spec-kit/blob/d1e86f638277a99b82715c22c90558cd58d3cffd/.github/CODEOWNERS#L1-L8
7,.github/dependabot.yml,configuration_or_data,357,14,A87F96C8E5C34B57B513C435C25F1AAC33EE36016A232BF03425CCF303A3D102,yaml_structure,"YAML; top-level keys=updates,version",0,none,none,0,https://github.com/github/spec-kit/blob/d1e86f638277a99b82715c22c90558cd58d3cffd/.github/dependabot.yml#L1-L14
8,.github/ISSUE_TEMPLATE/agent_request.yml,configuration_or_data,4599,142,B2C2F2D40377FCDC30C9335D569CD8640C7DD65F62DF3BF377A6326C796929F3,yaml_structure,"YAML; top-level keys=name,description,title,labels,body",0,none,none,0,https://github.com/github/spec-kit/blob/d1e86f638277a99b82715c22c90558cd58d3cffd/.github/ISSUE_TEMPLATE/agent_request.yml#L1-L142
9,.github/ISSUE_TEMPLATE/bug_report.yml,configuration_or_data,3271,137,BDC54B7093B874F35DF5F0B9C616376DF0E7C5270D4A8626CEE5845D534FF396,yaml_structure,"YAML; top-level keys=name,description,title,labels,body",0,none,none,0,https://github.com/github/spec-kit/blob/d1e86f638277a99b82715c22c90558cd58d3cffd/.github/ISSUE_TEMPLATE/bug_report.yml#L1-L137
10,.github/ISSUE_TEMPLATE/bundle_submission.yml,configuration_or_data,10829,294,8F89E99336FD1C8765454021CE7332A96DFB48E8E55AA57A27B1A98221B92D0D,yaml_structure,"YAML; top-level keys=name,description,title,labels,body",0,none,none,0,https://github.com/github/spec-kit/blob/d1e86f638277a99b82715c22c90558cd58d3cffd/.github/ISSUE_TEMPLATE/bundle_submission.yml#L1-L294
11,.github/ISSUE_TEMPLATE/config.yml,configuration_or_data,861,18,EEF995F18927FFA13F4365C3A95417D8FDC98020546A2A13457B09DF0C56C990,yaml_structure,"YAML; top-level keys=blank_issues_enabled,contact_links",0,none,none,0,https://github.com/github/spec-kit/blob/d1e86f638277a99b82715c22c90558cd58d3cffd/.github/ISSUE_TEMPLATE/config.yml#L1-L18
