"Path","Category","AnalysisStatus","Evidence","Notes","Disposition","DispositionEvidence"
".actrc","source_or_other","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\02-fission-openspec.md","SHA-256 5789CE53DCAF2C449F2F0A3A139BD2CA08523518F3C8E91B9A9ADEBDEF6311AC; covered by the pinned full-file census and the report's exhaustive semantic traversal.","blocked","outputs/08-empirical-benchmark-protocol.md — no row-level three-branch run/test evidence exists in milestone zero"
".agents/skills/release-openspec/agents/openai.yaml","skill","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\02-fission-openspec.md","SHA-256 17F66B41948E22BC40AFA77B3A27EE70807C03027549777CBE5BDDD7ABDEAC6A; covered by the pinned full-file census and the report's exhaustive semantic traversal.","blocked","outputs/08-empirical-benchmark-protocol.md — no row-level three-branch run/test evidence exists in milestone zero"
".agents/skills/release-openspec/references/release-notes.md","skill","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\02-fission-openspec.md","SHA-256 15C41AD14258186C63638B7FB07EFAE4AF61E5A942AC6FBF5668BBB1BCB82934; covered by the pinned full-file census and the report's exhaustive semantic traversal.","blocked","outputs/08-empirical-benchmark-protocol.md — no row-level three-branch run/test evidence exists in milestone zero"
".agents/skills/release-openspec/SKILL.md","skill","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\02-fission-openspec.md","SHA-256 24564AD19B9C62EB2CA265EF6C13810F428C97A44CD034415E5B61F4FF981C83; covered by the pinned full-file census and the report's exhaustive semantic traversal.","blocked","outputs/08-empirical-benchmark-protocol.md — no row-level three-branch run/test evidence exists in milestone zero"
".changeset/add-agents-tool.md","documentation","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\02-fission-openspec.md","SHA-256 B76019B24F911A107A66E9F78A2F499ECA0D657AD298EB01922C40EC45E08732; covered by the pinned full-file census and the report's exhaustive semantic traversal.","static_only_not_executable","Static source-analysis disposition; runtime execution is not applicable to this category in milestone zero"
".changeset/archive-non-interactive-guidance.md","documentation","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\02-fission-openspec.md","SHA-256 444F785CB3CDDE863D41DA60D7BA2DA6FCA21BFB3FB9A6CB3872D78A7EB98834; covered by the pinned full-file census and the report's exhaustive semantic traversal.","static_only_not_executable","Static source-analysis disposition; runtime execution is not applicable to this category in milestone zero"
".changeset/config.json","configuration_or_data","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\02-fission-openspec.md","SHA-256 0F8E19AE53B9239F922F573BC88A610F78E77C3FB4797C243E17A9A226045AB5; covered by the pinned full-file census and the report's exhaustive semantic traversal.","static_only_not_executable","Static source-analysis disposition; runtime execution is not applicable to this category in milestone zero"
".changeset/count-indented-subtasks.md","documentation","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\02-fission-openspec.md","SHA-256 A8DDC52B6C97D834AEB4E32574F9E6229C35992B49951AB2B7EFA0D3346D4707; covered by the pinned full-file census and the report's exhaustive semantic traversal.","static_only_not_executable","Static source-analysis disposition; runtime execution is not applicable to this category in milestone zero"
".changeset/indented-atx-headings.md","documentation","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\02-fission-openspec.md","SHA-256 E2C3C460A2034AB83C239A78361EA7B6BF9277C62666418BE6A9405FB031F8F2; covered by the pinned full-file census and the report's exhaustive semantic traversal.","static_only_not_executable","Static source-analysis disposition; runtime execution is not applicable to this category in milestone zero"
".changeset/README.md","documentation","analyzed","C:\Users\littl\Documents\Codex\2026-08-02\research-c-users-littl-agents-skills\outputs\02-fission-openspec.md","SHA-256 5B735C08E096F98F65D57BDD8FF22EBA9746414E409DB31C68B83B7EB9CD81A8; covered by the pinned full-file census and the report's exhaustive semantic traversal.","static_only_not_executable","Static source-analysis disposition; runtime execution is not applicable to this category in milestone zero"
